credit_id,settlement_id,amount,ts
CR000001,SET000001,16420,2026-09-04T07:00:00
CR000002,SET000002,10200,2026-09-04T05:00:00
CR000003,SET000003,7000,2026-09-04T03:00:00
CR000004,SET000006,6825,2026-09-03T20:00:00
CR000005,SET000007,6825,2026-09-03T20:00:00
CR000006,SET000008,2925,2026-09-03T18:00:00
CR000007,SET000009,2925,2026-09-03T18:00:00
CR000008,SET000010,-1000,2026-09-03T11:00:00
CR000009,SET000011,-500,2026-09-03T08:00:00
CR000010,SET000012,9750,2026-09-03T21:00:00
CR000011,SET000013,3900,2026-09-04T00:00:00
CR000012,SET000014,6800,2026-09-03T20:00:00
CR000013,SET000015,20000,2026-09-03T12:00:00
CR000014,SET000016,17928,2026-08-31T06:00:00
CR000015,SET000017,2732,2026-08-25T16:00:00
CR000016,SET000018,46727,2026-08-12T08:00:00
CR000017,SET000019,31457,2026-09-04T08:00:00
CR000018,SET000020,20903,2026-08-21T06:00:00
CR000019,SET000021,7154,2026-08-20T22:00:00
CR000020,SET000022,30330,2026-08-19T11:00:00
CR000021,SET000023,41143,2026-08-20T04:00:00
CR000022,SET000024,3903,2026-08-23T06:00:00
CR000023,SET000025,7429,2026-08-16T06:00:00
CR000024,SET000026,21439,2026-08-07T23:00:00
CR000025,SET000027,11910,2026-08-25T04:00:00
CR000026,SET000028,18224,2026-08-08T07:00:00
CR000027,SET000029,4467,2026-08-22T03:00:00
CR000028,SET000030,14455,2026-08-11T10:00:00
CR000029,SET000031,32874,2026-08-08T04:00:00
CR000030,SET000032,8697,2026-08-12T15:00:00
CR000031,SET000033,28350,2026-08-18T14:00:00
CR000032,SET000034,9814,2026-08-31T17:00:00
CR000033,SET000035,10741,2026-08-06T14:00:00
CR000034,SET000036,25561,2026-08-15T15:00:00
CR000035,SET000037,1708,2026-08-30T17:00:00
CR000036,SET000038,19100,2026-08-28T21:00:00
CR000037,SET000039,12471,2026-08-30T00:00:00
CR000038,SET000040,7774,2026-08-22T21:00:00
CR000039,SET000041,11297,2026-08-12T23:00:00
CR000040,SET000042,29173,2026-08-22T12:00:00
CR000041,SET000043,37227,2026-08-31T23:00:00
CR000042,SET000044,35013,2026-08-30T03:00:00
CR000043,SET000045,9743,2026-08-26T14:00:00
CR000044,SET000046,26469,2026-08-07T21:00:00
CR000045,SET000047,34046,2026-08-25T01:00:00
CR000046,SET000048,2318,2026-08-25T19:00:00
CR000047,SET000049,11055,2026-09-03T08:00:00
CR000048,SET000050,2982,2026-09-01T14:00:00
CR000049,SET000051,30859,2026-08-11T06:00:00
CR000050,SET000052,31196,2026-08-27T12:00:00
CR000051,SET000053,28518,2026-08-18T02:00:00
CR000052,SET000054,4436,2026-08-08T01:00:00
CR000053,SET000055,22655,2026-08-30T23:00:00
CR000054,SET000056,35242,2026-08-17T14:00:00
CR000055,SET000057,16937,2026-09-01T09:00:00
CR000056,SET000058,30748,2026-08-12T13:00:00
CR000057,SET000059,14040,2026-08-15T02:00:00
CR000058,SET000060,4669,2026-08-18T23:00:00
CR000059,SET000061,24293,2026-08-11T21:00:00
CR000060,SET000062,19645,2026-08-10T21:00:00
CR000061,SET000063,4089,2026-08-14T04:00:00
CR000062,SET000064,31852,2026-09-01T16:00:00
CR000063,SET000065,16004,2026-08-11T07:00:00
CR000064,SET000066,3514,2026-08-17T17:00:00
