fee_id,payment_id,fee_amt,tax_amt
FEE000001,PAY000001,500,80
FEE000002,PAY000002,240,60
FEE000003,PAY000003,160,40
FEE000004,PAY000004,300,75
FEE000005,PAY000005,120,30
FEE000006,PAY000006,180,45
FEE000007,PAY000007,90,22
FEE000008,PAY000008,140,35
FEE000009,PAY000009,140,35
FEE000010,PAY000010,60,15
FEE000011,PAY000011,60,15
FEE000012,PAY000014,200,50
FEE000013,PAY000015,80,20
FEE000014,PAY000016,160,40
FEE000015,PAY000017,500,125
FEE000016,PAY000018,380,95
FEE000017,PAY000019,62,15
FEE000018,PAY000020,958,240
FEE000019,PAY000021,792,198
FEE000020,PAY000022,466,116
FEE000021,PAY000023,147,37
FEE000022,PAY000024,622,156
FEE000023,PAY000025,844,211
FEE000024,PAY000026,80,20
FEE000025,PAY000027,152,38
FEE000026,PAY000028,486,121
FEE000027,PAY000029,244,61
FEE000028,PAY000030,374,93
FEE000029,PAY000031,93,23
FEE000030,PAY000032,297,74
FEE000031,PAY000033,674,169
FEE000032,PAY000034,203,51
FEE000033,PAY000035,582,145
FEE000034,PAY000036,201,50
FEE000035,PAY000037,220,55
FEE000036,PAY000038,524,131
FEE000037,PAY000039,35,9
FEE000038,PAY000040,466,116
FEE000039,PAY000041,256,64
FEE000040,PAY000042,159,40
FEE000041,PAY000043,232,58
FEE000042,PAY000044,660,165
FEE000043,PAY000045,764,191
FEE000044,PAY000046,718,180
FEE000045,PAY000047,236,59
FEE000046,PAY000048,543,136
FEE000047,PAY000049,698,175
FEE000048,PAY000050,48,12
FEE000049,PAY000051,227,57
FEE000050,PAY000052,61,15
FEE000051,PAY000053,656,164
FEE000052,PAY000054,640,160
FEE000053,PAY000055,585,146
FEE000054,PAY000056,91,23
FEE000055,PAY000057,465,116
FEE000056,PAY000058,723,181
FEE000057,PAY000059,347,87
FEE000058,PAY000060,741,185
FEE000059,PAY000061,330,82
FEE000060,PAY000062,97,24
FEE000061,PAY000063,616,154
FEE000062,PAY000064,409,102
FEE000063,PAY000065,95,24
FEE000064,PAY000066,686,171
FEE000065,PAY000067,328,82
FEE000066,PAY000068,72,18
FEE000067,PAY000069,288,72
FEE000068,PAY000070,192,48
FEE000069,PAY000071,115,29
FEE000070,PAY000072,194,48
FEE000071,PAY000073,227,57
FEE000072,PAY000074,877,219
FEE000073,PAY000075,156,39
FEE000074,PAY000076,160,40
FEE000075,PAY000077,296,74
FEE000076,PAY000078,349,87
FEE000077,PAY000079,383,96
FEE000078,PAY000080,599,150
FEE000079,PAY000081,926,231
FEE000080,PAY000082,784,196
FEE000081,PAY000083,498,124
FEE000082,PAY000084,347,87
FEE000083,PAY000085,223,56
FEE000084,PAY000086,252,63
FEE000085,PAY000087,455,114
FEE000086,PAY000088,939,235
