order_id,amount,status
O000001,20000,completed
O000002,12000,completed
O000003,8000,completed
O000004,15000,completed
O000005,6000,completed
O000006,9000,completed
O000007,4500,completed
O000008,7000,completed
O000009,3000,completed
O000010,5000,completed
O000011,2000,completed
O000012,10000,cancelled
O000013,4000,cancelled
O000014,8000,completed
O000015,25000,completed
O000016,19024,completed
O000017,3082,completed
O000018,47925,completed
O000019,39618,completed
O000020,23298,completed
O000021,7338,completed
O000022,31108,completed
O000023,42198,completed
O000024,4003,completed
O000025,7619,completed
O000026,24283,completed
O000027,12215,completed
O000028,18691,completed
O000029,4665,completed
O000030,14826,completed
O000031,33717,completed
O000032,10150,completed
O000033,29077,completed
O000034,10065,completed
O000035,11016,completed
O000036,26216,completed
O000037,1752,completed
O000038,23293,completed
O000039,12791,cancelled
O000040,7973,completed
O000041,11587,completed
O000042,33021,completed
O000043,38182,completed
O000044,35911,completed
O000045,11821,completed
O000046,27148,completed
O000047,34919,completed
O000048,2378,completed
O000049,11339,cancelled
O000050,3058,completed
O000051,32812,completed
O000052,31996,completed
O000053,29249,completed
O000054,4550,completed
O000055,23236,completed
O000056,36146,completed
O000057,17371,completed
O000058,37066,completed
O000059,16491,completed
O000060,4842,completed
O000061,30819,completed
O000062,20445,completed
O000063,4746,completed
O000064,34281,completed
O000065,16414,completed
O000066,3604,completed
O000067,14386,completed
O000068,9577,completed
O000069,5754,completed
O000070,9680,completed
O000071,11338,completed
O000072,43858,completed
O000073,7788,completed
O000074,8014,completed
O000075,14803,completed
O000076,17457,completed
O000077,19132,completed
O000078,29956,completed
O000079,46286,completed
O000080,39175,completed
O000081,24897,completed
O000082,17353,completed
O000083,11128,completed
O000084,12603,completed
O000085,22770,completed
O000086,46958,completed
O000087,31166,completed
O000088,13656,completed
O000089,19292,completed
O000090,36141,completed
O000091,18118,completed
O000092,23654,completed
O000093,34516,completed
O000094,29577,completed
O000095,5585,completed
O000096,9167,completed
O000097,22376,completed
O000098,44576,completed
O000099,20723,completed
O000100,29173,completed
O000101,29977,completed
O000102,12120,completed
O000103,16392,completed
O000104,4028,completed
O000105,42272,completed
O000106,10671,completed
O000107,15341,completed
O000108,17331,completed
O000109,31450,completed
O000110,30004,completed
O000111,36905,completed
O000112,17203,completed
O000113,18996,completed
O000114,21952,completed
O000115,26102,completed
O000116,22684,completed
O000117,28534,completed
O000118,38728,completed
O000119,26558,completed
O000120,18887,completed
O000121,45508,completed
O000122,41780,completed
O000123,29089,completed
O000124,22453,completed
O000125,28627,completed
O000126,4413,completed
O000127,43713,completed
O000128,41719,completed
O000129,15284,completed
O000130,40796,completed
O000131,8084,completed
O000132,47859,completed
O000133,40348,completed
O000134,29074,completed
O000135,28528,completed
O000136,42653,completed
O000137,35193,completed
O000138,39828,completed
O000139,30543,completed
O000140,33394,completed
O000141,17931,completed
O000142,34857,completed
O000143,33019,completed
O000144,33166,completed
O000145,27502,completed
O000146,35794,completed
O000147,30736,completed
O000148,21679,completed
O000149,19120,completed
O000150,13721,completed
O000151,36005,completed
O000152,9275,completed
O000153,38621,completed
O000154,4367,completed
O000155,5855,completed
O000156,37886,completed
O000157,28274,completed
O000158,25928,completed
O000159,29103,completed
O000160,7503,completed
O000161,6320,completed
O000162,27772,completed
O000163,16170,completed
O000164,18337,completed
O000165,36688,completed
O000166,11873,completed
O000167,31716,completed
O000168,33361,completed
O000169,22123,completed
O000170,45190,completed
O000171,45058,completed
O000172,12481,completed
O000173,12894,completed
O000174,31802,completed
O000175,11539,completed
O000176,27244,completed
O000177,21612,completed
O000178,36559,completed
O000179,41804,completed
O000180,14340,completed
O000181,32766,completed
