payment_id,order_id,amount,status,method,ts
PAY000001,O000001,20000,settled,card,2026-09-03T06:00:00
PAY000002,O000002,12000,settled,ach,2026-09-02T10:00:00
PAY000003,O000003,8000,settled,card,2026-09-01T14:00:00
PAY000004,O000004,15000,settled,wire,2026-09-02T20:00:00
PAY000005,O000005,6000,settled,card,2026-08-31T18:00:00
PAY000006,O000006,9000,settled,ach,2026-09-03T03:00:00
PAY000007,O000007,4500,settled,card,2026-09-01T18:00:00
PAY000008,O000008,7000,settled,card,2026-09-02T12:00:00
PAY000009,O000008,7000,settled,card,2026-09-02T12:00:00
PAY000010,O000009,3000,settled,wallet,2026-09-02T05:00:00
PAY000011,O000009,3000,settled,wallet,2026-09-02T05:00:00
PAY000012,O000010,5000,settled,card,2026-09-02T00:00:00
PAY000013,O000011,2000,settled,ach,2026-09-01T09:00:00
PAY000014,O000012,10000,settled,card,2026-09-02T16:00:00
PAY000015,O000013,4000,settled,wallet,2026-09-02T22:00:00
PAY000016,O000014,8000,settled,card,2026-09-02T08:00:00
PAY000017,O000015,25000,settled,wire,2026-09-01T04:00:00
PAY000018,O000016,19024,settled,card,2026-08-31T01:00:00
PAY000019,O000017,3082,settled,card,2026-08-25T11:00:00
PAY000020,O000018,47925,settled,card,2026-08-12T03:00:00
PAY000021,O000019,39618,settled,wire,2026-09-04T03:00:00
PAY000022,O000020,23298,settled,ach,2026-08-21T01:00:00
PAY000023,O000021,7338,settled,card,2026-08-20T17:00:00
PAY000024,O000022,31108,settled,wallet,2026-08-19T06:00:00
PAY000025,O000023,42198,settled,card,2026-08-19T23:00:00
PAY000026,O000024,4003,settled,ach,2026-08-23T01:00:00
PAY000027,O000025,7619,settled,card,2026-08-16T01:00:00
PAY000028,O000026,24283,settled,wallet,2026-08-07T18:00:00
PAY000029,O000027,12215,settled,card,2026-08-24T23:00:00
PAY000030,O000028,18691,settled,ach,2026-08-08T02:00:00
PAY000031,O000029,4665,settled,ach,2026-08-21T22:00:00
PAY000032,O000030,14826,settled,wire,2026-08-11T05:00:00
PAY000033,O000031,33717,settled,wallet,2026-08-07T23:00:00
PAY000034,O000032,10150,settled,wire,2026-08-12T10:00:00
PAY000035,O000033,29077,settled,wallet,2026-08-18T09:00:00
PAY000036,O000034,10065,settled,wallet,2026-08-31T12:00:00
PAY000037,O000035,11016,settled,card,2026-08-06T09:00:00
PAY000038,O000036,26216,settled,wire,2026-08-15T10:00:00
PAY000039,O000037,1752,settled,wallet,2026-08-30T12:00:00
PAY000040,O000038,23293,settled,wallet,2026-08-28T16:00:00
PAY000041,O000039,12791,settled,wire,2026-08-29T19:00:00
PAY000042,O000040,7973,settled,ach,2026-08-22T16:00:00
PAY000043,O000041,11587,settled,ach,2026-08-12T18:00:00
PAY000044,O000042,33021,settled,card,2026-08-22T07:00:00
PAY000045,O000043,38182,settled,ach,2026-08-31T18:00:00
PAY000046,O000044,35911,settled,wire,2026-08-29T22:00:00
PAY000047,O000045,11821,settled,wire,2026-08-26T09:00:00
PAY000048,O000046,27148,settled,ach,2026-08-07T16:00:00
PAY000049,O000047,34919,settled,wallet,2026-08-24T20:00:00
PAY000050,O000048,2378,settled,ach,2026-08-25T14:00:00
PAY000051,O000049,11339,settled,ach,2026-09-03T03:00:00
PAY000052,O000050,3058,settled,ach,2026-09-01T09:00:00
PAY000053,O000051,32812,settled,ach,2026-08-11T01:00:00
PAY000054,O000052,31996,settled,wire,2026-08-27T07:00:00
PAY000055,O000053,29249,settled,card,2026-08-17T21:00:00
PAY000056,O000054,4550,settled,wire,2026-08-07T20:00:00
PAY000057,O000055,23236,settled,card,2026-08-30T18:00:00
PAY000058,O000056,36146,settled,ach,2026-08-17T09:00:00
PAY000059,O000057,17371,settled,ach,2026-09-01T04:00:00
PAY000060,O000058,37066,settled,wire,2026-08-12T08:00:00
PAY000061,O000059,16491,settled,card,2026-08-14T21:00:00
PAY000062,O000060,4842,settled,ach,2026-08-18T18:00:00
PAY000063,O000061,30819,settled,wallet,2026-08-11T16:00:00
PAY000064,O000062,20445,settled,wire,2026-08-10T16:00:00
PAY000065,O000063,4746,settled,card,2026-08-13T23:00:00
PAY000066,O000064,34281,settled,ach,2026-09-01T11:00:00
PAY000067,O000065,16414,settled,card,2026-08-11T02:00:00
PAY000068,O000066,3604,settled,ach,2026-08-17T12:00:00
PAY000069,O000067,14386,settled,wallet,2026-08-22T00:00:00
PAY000070,O000068,9577,settled,ach,2026-08-22T14:00:00
PAY000071,O000069,5754,settled,wire,2026-09-01T06:00:00
PAY000072,O000070,9680,settled,ach,2026-09-01T11:00:00
PAY000073,O000071,11338,settled,ach,2026-08-12T05:00:00
PAY000074,O000072,43858,settled,wallet,2026-08-06T22:00:00
PAY000075,O000073,7788,settled,wallet,2026-08-29T16:00:00
PAY000076,O000074,8014,settled,wallet,2026-08-28T18:00:00
PAY000077,O000075,14803,settled,wallet,2026-08-26T17:00:00
PAY000078,O000076,17457,settled,wallet,2026-09-02T05:00:00
PAY000079,O000077,19132,settled,card,2026-08-29T20:00:00
PAY000080,O000078,29956,settled,wallet,2026-08-17T04:00:00
PAY000081,O000079,46286,settled,card,2026-08-12T03:00:00
PAY000082,O000080,39175,settled,card,2026-08-17T01:00:00
PAY000083,O000081,24897,settled,ach,2026-09-02T17:00:00
PAY000084,O000082,17353,settled,wallet,2026-08-20T07:00:00
PAY000085,O000083,11128,settled,wire,2026-08-25T07:00:00
PAY000086,O000084,12603,settled,ach,2026-09-03T08:00:00
PAY000087,O000085,22770,settled,ach,2026-08-17T20:00:00
PAY000088,O000086,46958,settled,ach,2026-08-15T08:00:00
PAY000089,O000087,31166,settled,ach,2026-08-25T16:00:00
PAY000090,O000088,13656,settled,ach,2026-08-23T12:00:00
PAY000091,O000089,19292,settled,card,2026-08-13T16:00:00
PAY000092,O000090,36141,settled,wire,2026-09-03T05:00:00
PAY000093,O000091,18118,settled,card,2026-09-02T18:00:00
PAY000094,O000092,23654,settled,card,2026-08-22T00:00:00
PAY000095,O000093,34516,settled,wire,2026-08-27T07:00:00
PAY000096,O000094,29577,settled,wallet,2026-08-06T19:00:00
PAY000097,O000095,5585,settled,ach,2026-08-21T07:00:00
PAY000098,O000096,9167,settled,wallet,2026-08-22T14:00:00
PAY000099,O000097,22376,settled,wallet,2026-08-22T19:00:00
PAY000100,O000098,44576,settled,ach,2026-08-06T12:00:00
PAY000101,O000099,20723,settled,ach,2026-09-04T09:00:00
PAY000102,O000100,29173,settled,wallet,2026-08-09T12:00:00
PAY000103,O000101,29977,settled,wallet,2026-08-13T14:00:00
PAY000104,O000102,12120,settled,wire,2026-08-23T07:00:00
PAY000105,O000103,16392,settled,wallet,2026-08-25T19:00:00
PAY000106,O000104,4028,settled,ach,2026-08-09T08:00:00
PAY000107,O000105,42272,settled,card,2026-08-19T00:00:00
PAY000108,O000106,10671,settled,wire,2026-09-04T04:00:00
PAY000109,O000107,15341,settled,card,2026-08-13T07:00:00
PAY000110,O000108,17331,settled,wire,2026-08-30T05:00:00
PAY000111,O000109,31450,settled,wire,2026-08-11T13:00:00
PAY000112,O000110,30004,settled,wallet,2026-08-13T21:00:00
PAY000113,O000111,36905,settled,wire,2026-08-28T15:00:00
PAY000114,O000112,17203,settled,wire,2026-08-23T14:00:00
PAY000115,O000113,18996,settled,wire,2026-08-23T05:00:00
PAY000116,O000114,21952,settled,ach,2026-08-31T23:00:00
PAY000117,O000115,26102,settled,ach,2026-08-26T06:00:00
PAY000118,O000116,22684,settled,card,2026-08-17T16:00:00
PAY000119,O000117,28534,settled,card,2026-08-10T11:00:00
PAY000120,O000118,38728,settled,card,2026-09-04T03:00:00
PAY000121,O000119,26558,settled,wallet,2026-08-17T12:00:00
PAY000122,O000120,18887,settled,ach,2026-09-03T04:00:00
PAY000123,O000121,45508,settled,wire,2026-08-28T08:00:00
PAY000124,O000122,41780,settled,wire,2026-08-18T14:00:00
PAY000125,O000123,29089,settled,card,2026-08-27T15:00:00
PAY000126,O000124,22453,settled,card,2026-08-21T00:00:00
PAY000127,O000125,28627,settled,wire,2026-08-15T08:00:00
PAY000128,O000126,4413,settled,card,2026-08-20T11:00:00
PAY000129,O000127,43713,settled,ach,2026-08-24T20:00:00
PAY000130,O000128,41719,settled,ach,2026-08-15T05:00:00
PAY000131,O000129,15284,settled,card,2026-08-24T11:00:00
PAY000132,O000130,40796,settled,wallet,2026-08-30T12:00:00
PAY000133,O000131,8084,settled,ach,2026-08-22T02:00:00
PAY000134,O000132,47859,settled,wire,2026-08-31T01:00:00
PAY000135,O000133,40348,settled,wallet,2026-08-11T06:00:00
PAY000136,O000134,29074,settled,card,2026-09-01T11:00:00
PAY000137,O000135,28528,settled,wallet,2026-08-30T21:00:00
PAY000138,O000136,42653,settled,wire,2026-08-15T19:00:00
PAY000139,O000137,35193,settled,ach,2026-08-23T21:00:00
PAY000140,O000138,39828,settled,wire,2026-08-24T22:00:00
PAY000141,O000139,30543,settled,card,2026-08-11T02:00:00
PAY000142,O000140,33394,settled,wire,2026-08-27T15:00:00
PAY000143,O000141,17931,settled,wire,2026-08-09T23:00:00
PAY000144,O000142,34857,settled,wallet,2026-08-31T18:00:00
PAY000145,O000143,33019,settled,ach,2026-08-25T03:00:00
PAY000146,O000144,33166,settled,wire,2026-09-03T16:00:00
PAY000147,O000145,27502,settled,card,2026-08-22T08:00:00
PAY000148,O000146,35794,settled,wallet,2026-08-11T22:00:00
PAY000149,O000147,30736,settled,wallet,2026-08-25T13:00:00
PAY000150,O000148,21679,settled,card,2026-08-27T05:00:00
PAY000151,O000149,19120,settled,ach,2026-08-13T00:00:00
PAY000152,O000150,13721,settled,wallet,2026-08-27T18:00:00
PAY000153,O000151,36005,settled,wallet,2026-09-02T02:00:00
PAY000154,O000152,9275,settled,wallet,2026-08-14T11:00:00
PAY000155,O000153,38621,settled,card,2026-08-16T14:00:00
PAY000156,O000154,4367,settled,wallet,2026-08-30T13:00:00
PAY000157,O000155,5855,settled,card,2026-09-02T03:00:00
PAY000158,O000156,37886,settled,ach,2026-08-31T18:00:00
PAY000159,O000157,28274,settled,ach,2026-08-09T00:00:00
PAY000160,O000158,25928,settled,ach,2026-08-16T12:00:00
PAY000161,O000159,29103,settled,wallet,2026-08-08T22:00:00
PAY000162,O000160,7503,settled,card,2026-08-26T13:00:00
PAY000163,O000161,6320,settled,ach,2026-08-11T20:00:00
PAY000164,O000162,27772,settled,card,2026-08-10T01:00:00
PAY000165,O000163,16170,settled,wire,2026-08-16T01:00:00
PAY000166,O000164,18337,settled,card,2026-08-08T17:00:00
PAY000167,O000165,36688,settled,ach,2026-08-24T01:00:00
PAY000168,O000166,11873,settled,ach,2026-08-10T00:00:00
PAY000169,O000167,31716,settled,wallet,2026-08-18T05:00:00
PAY000170,O000168,33361,settled,wallet,2026-08-09T21:00:00
PAY000171,O000169,22123,settled,card,2026-09-03T07:00:00
PAY000172,O000170,45190,settled,card,2026-08-10T20:00:00
PAY000173,O000171,45058,settled,card,2026-08-10T19:00:00
PAY000174,O000172,12481,settled,card,2026-08-07T14:00:00
PAY000175,O000173,12894,settled,wire,2026-08-16T19:00:00
PAY000176,O000174,31802,settled,wire,2026-08-21T04:00:00
PAY000177,O000175,11539,settled,wallet,2026-08-14T06:00:00
PAY000178,O000176,27244,settled,wallet,2026-08-11T22:00:00
PAY000179,O000177,21612,settled,card,2026-08-18T04:00:00
PAY000180,O000178,36559,settled,card,2026-09-02T02:00:00
PAY000181,O000179,41804,settled,ach,2026-08-08T17:00:00
PAY000182,O000180,14340,settled,wire,2026-08-23T03:00:00
PAY000183,O000181,32766,settled,wire,2026-08-09T10:00:00
PAY000184,O000182,21365,settled,ach,2026-08-11T20:00:00
PAY000185,O000183,8435,settled,wire,2026-08-30T09:00:00
PAY000186,O000184,47963,settled,ach,2026-08-17T16:00:00
PAY000187,O000185,16973,settled,wire,2026-08-29T05:00:00
PAY000188,O000186,40280,settled,wire,2026-08-29T14:00:00
PAY000189,O000187,28193,settled,card,2026-08-13T18:00:00
PAY000190,O000188,19536,settled,wallet,2026-08-10T08:00:00
PAY000191,O000189,30264,settled,wire,2026-08-20T16:00:00
PAY000192,O000190,36614,settled,wallet,2026-08-21T16:00:00
PAY000193,O000191,16650,settled,ach,2026-08-25T10:00:00
PAY000194,O000192,31996,settled,wire,2026-08-19T03:00:00
PAY000195,O000193,43730,settled,wire,2026-08-14T06:00:00
PAY000196,O000194,39678,settled,card,2026-08-31T03:00:00
PAY000197,O000195,30945,settled,wire,2026-08-17T22:00:00
PAY000198,O000196,18368,settled,ach,2026-08-18T10:00:00
PAY000199,O000197,45194,settled,card,2026-08-19T04:00:00
PAY000200,O000198,32978,settled,wallet,2026-09-02T21:00:00
PAY000201,O000199,45852,settled,card,2026-08-25T17:00:00
PAY000202,O000200,7451,settled,card,2026-08-31T03:00:00
PAY000203,O000201,20625,settled,wire,2026-09-02T10:00:00
PAY000204,O000202,20226,settled,wallet,2026-08-17T00:00:00
PAY000205,O000203,28004,settled,ach,2026-08-27T17:00:00
PAY000206,O000204,40943,settled,ach,2026-08-08T23:00:00
PAY000207,O000205,39217,settled,ach,2026-08-08T04:00:00
PAY000208,O000206,44702,settled,wallet,2026-08-23T03:00:00
PAY000209,O000207,23646,settled,ach,2026-08-22T15:00:00
PAY000210,O000208,30939,settled,wire,2026-08-26T22:00:00
PAY000211,O000209,7989,settled,wire,2026-08-20T02:00:00
PAY000212,O000210,20348,settled,wallet,2026-08-07T07:00:00
PAY000213,O000211,38088,settled,wire,2026-09-02T07:00:00
PAY000214,O000212,19756,settled,wire,2026-08-25T14:00:00
PAY000215,O000213,13460,settled,wallet,2026-08-06T11:00:00
PAY000216,O000214,42121,settled,ach,2026-08-22T05:00:00
PAY000217,O000215,24911,settled,wire,2026-08-31T13:00:00
PAY000218,O000216,28230,settled,wallet,2026-08-12T09:00:00
PAY000219,O000217,18860,settled,wallet,2026-08-24T10:00:00
PAY000220,O000218,20342,settled,wire,2026-08-20T23:00:00
PAY000221,O000219,5934,settled,card,2026-08-06T13:00:00
PAY000222,O000220,37524,settled,wire,2026-08-18T13:00:00
PAY000223,O000221,9099,settled,card,2026-08-06T17:00:00
PAY000224,O000222,42847,settled,wallet,2026-08-30T19:00:00
PAY000225,O000223,41602,settled,ach,2026-08-11T11:00:00
PAY000226,O000224,15507,settled,wallet,2026-08-08T07:00:00
PAY000227,O000225,20804,settled,wire,2026-08-30T10:00:00
PAY000228,O000226,3438,settled,ach,2026-08-14T09:00:00
PAY000229,O000227,36228,settled,card,2026-08-19T14:00:00
PAY000230,O000228,11126,settled,wire,2026-08-07T11:00:00
PAY000231,O000229,41347,settled,card,2026-08-23T11:00:00
PAY000232,O000230,15238,settled,card,2026-08-25T08:00:00
PAY000233,O000231,45936,settled,wallet,2026-08-07T21:00:00
PAY000234,O000232,19080,settled,wallet,2026-08-16T00:00:00
PAY000235,O000233,43054,settled,card,2026-09-03T12:00:00
PAY000236,O000234,16962,settled,card,2026-08-11T07:00:00
PAY000237,O000235,37320,settled,ach,2026-08-25T11:00:00
PAY000238,O000236,40058,settled,wallet,2026-08-29T05:00:00
PAY000239,O000237,12435,settled,ach,2026-08-29T19:00:00
PAY000240,O000238,16593,settled,card,2026-09-03T17:00:00
PAY000241,O000239,9307,settled,ach,2026-08-12T23:00:00
PAY000242,O000240,32211,settled,card,2026-08-19T23:00:00
PAY000243,O000241,15519,settled,card,2026-09-02T13:00:00
PAY000244,O000242,3041,settled,wallet,2026-08-18T06:00:00
PAY000245,O000243,33130,settled,wire,2026-08-16T11:00:00
PAY000246,O000244,22109,settled,card,2026-09-01T14:00:00
PAY000247,O000245,42489,settled,ach,2026-08-21T13:00:00
PAY000248,O000246,35770,settled,wire,2026-08-09T14:00:00
PAY000249,O000247,46991,settled,wire,2026-08-26T05:00:00
PAY000250,O000248,15974,settled,wire,2026-08-16T01:00:00
PAY000251,O000249,7231,settled,wire,2026-08-22T01:00:00
PAY000252,O000250,11003,settled,wallet,2026-08-15T04:00:00
PAY000253,O000251,6594,settled,card,2026-08-19T12:00:00
PAY000254,O000252,39434,settled,ach,2026-08-11T10:00:00
PAY000255,O000253,27922,settled,wallet,2026-08-07T00:00:00
PAY000256,O000254,4371,settled,wire,2026-08-09T19:00:00
PAY000257,O000255,38874,settled,wallet,2026-08-28T19:00:00
PAY000258,O000256,8092,settled,wire,2026-08-11T16:00:00
PAY000259,O000257,19256,settled,wallet,2026-08-17T02:00:00
PAY000260,O000258,44111,settled,card,2026-08-24T00:00:00
PAY000261,O000259,47052,settled,card,2026-08-20T22:00:00
PAY000262,O000260,3347,settled,wallet,2026-08-23T08:00:00
PAY000263,O000261,42495,settled,wire,2026-08-31T12:00:00
PAY000264,O000262,30730,settled,ach,2026-08-19T15:00:00
PAY000265,O000263,38197,settled,wallet,2026-09-02T04:00:00
PAY000266,O000264,41490,settled,ach,2026-08-23T19:00:00
PAY000267,O000265,32828,settled,wire,2026-08-17T17:00:00
PAY000268,O000266,34577,settled,wallet,2026-08-30T16:00:00
PAY000269,O000267,39871,settled,wallet,2026-08-06T22:00:00
PAY000270,O000268,26903,settled,wallet,2026-09-02T01:00:00
PAY000271,O000269,14843,settled,card,2026-08-24T12:00:00
PAY000272,O000270,1506,settled,wallet,2026-08-17T01:00:00
PAY000273,O000271,35903,settled,ach,2026-08-14T01:00:00
