refund_id,payment_id,amount,ts
REF000001,PAY000001,1000,2026-09-03T16:00:00
REF000002,PAY000012,6000,2026-09-02T20:00:00
REF000003,PAY000013,2500,2026-09-02T10:00:00
REF000004,PAY000016,500,2026-09-03T06:00:00
REF000005,PAY000016,500,2026-09-03T07:00:00
REF000006,PAY000018,621,2026-08-31T02:00:00
REF000007,PAY000019,273,2026-08-25T12:00:00
REF000008,PAY000021,7171,2026-09-04T04:00:00
REF000009,PAY000022,1813,2026-08-21T02:00:00
REF000010,PAY000028,2237,2026-08-07T19:00:00
REF000011,PAY000031,82,2026-08-21T23:00:00
REF000012,PAY000034,1199,2026-08-12T11:00:00
REF000013,PAY000040,3611,2026-08-28T17:00:00
REF000014,PAY000044,3023,2026-08-22T08:00:00
REF000015,PAY000047,1783,2026-08-26T10:00:00
REF000016,PAY000053,1133,2026-08-11T02:00:00
REF000017,PAY000060,5392,2026-08-12T09:00:00
REF000018,PAY000061,2039,2026-08-14T22:00:00
REF000019,PAY000062,52,2026-08-18T19:00:00
REF000020,PAY000063,5756,2026-08-11T17:00:00
REF000021,PAY000064,289,2026-08-10T17:00:00
REF000022,PAY000065,538,2026-08-14T00:00:00
REF000023,PAY000066,1572,2026-09-01T12:00:00
REF000024,PAY000071,254,2026-09-01T07:00:00
REF000025,PAY000079,1416,2026-08-29T21:00:00
REF000026,PAY000088,684,2026-08-15T09:00:00
REF000027,PAY000093,1137,2026-09-02T19:00:00
REF000028,PAY000095,4773,2026-08-27T08:00:00
REF000029,PAY000096,4460,2026-08-06T20:00:00
REF000030,PAY000106,536,2026-08-09T09:00:00
REF000031,PAY000109,2900,2026-08-13T08:00:00
REF000032,PAY000125,3832,2026-08-27T16:00:00
REF000033,PAY000126,2727,2026-08-21T01:00:00
REF000034,PAY000127,720,2026-08-15T09:00:00
REF000035,PAY000129,558,2026-08-24T21:00:00
REF000036,PAY000130,2118,2026-08-15T06:00:00
REF000037,PAY000134,4028,2026-08-31T02:00:00
REF000038,PAY000140,7027,2026-08-24T23:00:00
REF000039,PAY000141,3856,2026-08-11T03:00:00
REF000040,PAY000149,2109,2026-08-25T14:00:00
REF000041,PAY000150,1566,2026-08-27T06:00:00
REF000042,PAY000152,1528,2026-08-27T19:00:00
REF000043,PAY000153,422,2026-09-02T03:00:00
REF000044,PAY000155,3971,2026-08-16T15:00:00
REF000045,PAY000156,539,2026-08-30T14:00:00
REF000046,PAY000163,405,2026-08-11T21:00:00
REF000047,PAY000165,1208,2026-08-16T02:00:00
REF000048,PAY000167,1270,2026-08-24T02:00:00
REF000049,PAY000179,999,2026-08-18T05:00:00
REF000050,PAY000182,586,2026-08-23T04:00:00
REF000051,PAY000183,5211,2026-08-09T11:00:00
REF000052,PAY000186,4529,2026-08-17T17:00:00
REF000053,PAY000197,1230,2026-08-17T23:00:00
REF000054,PAY000207,3827,2026-08-08T05:00:00
REF000055,PAY000208,7672,2026-08-23T04:00:00
REF000056,PAY000211,1221,2026-08-20T03:00:00
REF000057,PAY000212,3449,2026-08-07T08:00:00
REF000058,PAY000218,1132,2026-08-12T10:00:00
REF000059,PAY000221,512,2026-08-06T14:00:00
REF000060,PAY000229,3766,2026-08-19T15:00:00
REF000061,PAY000234,550,2026-08-16T01:00:00
REF000062,PAY000237,1819,2026-08-25T12:00:00
REF000063,PAY000238,7082,2026-08-29T06:00:00
REF000064,PAY000239,155,2026-08-29T20:00:00
REF000065,PAY000244,540,2026-08-18T07:00:00
REF000066,PAY000248,4191,2026-08-09T15:00:00
REF000067,PAY000249,9083,2026-08-26T06:00:00
REF000068,PAY000253,247,2026-08-19T13:00:00
REF000069,PAY000262,436,2026-08-23T09:00:00
REF000070,PAY000262,436,2026-08-23T10:00:00
REF000071,PAY000266,1386,2026-08-23T20:00:00
REF000072,PAY000268,3571,2026-08-30T17:00:00
REF000073,PAY000276,2710,2026-08-28T03:00:00
REF000074,PAY000277,917,2026-08-25T01:00:00
REF000075,PAY000278,2591,2026-08-20T23:00:00
REF000076,PAY000279,517,2026-08-12T19:00:00
REF000077,PAY000281,760,2026-08-09T18:00:00
REF000078,PAY000282,8145,2026-08-15T15:00:00
REF000079,PAY000287,3589,2026-08-31T14:00:00
REF000080,PAY000291,1843,2026-08-16T17:00:00
REF000081,PAY000294,4987,2026-08-29T01:00:00
REF000082,PAY000295,5781,2026-08-22T05:00:00
REF000083,PAY000300,655,2026-08-31T03:00:00
REF000084,PAY000301,6222,2026-08-28T21:00:00
REF000085,PAY000304,2009,2026-08-22T06:00:00
REF000086,PAY000318,549,2026-09-02T10:00:00
REF000087,PAY000322,5524,2026-08-31T19:00:00
REF000088,PAY000324,3219,2026-08-19T12:00:00
REF000089,PAY000326,5497,2026-08-29T18:00:00
REF000090,PAY000329,1701,2026-09-02T14:00:00
REF000091,PAY000336,4985,2026-08-27T18:00:00
REF000092,PAY000338,3686,2026-08-20T11:00:00
REF000093,PAY000340,702,2026-08-18T03:00:00
REF000094,PAY000341,560,2026-08-29T08:00:00
REF000095,PAY000342,800,2026-08-20T00:00:00
REF000096,PAY000347,583,2026-08-16T10:00:00
REF000097,PAY000352,1696,2026-08-29T12:00:00
REF000098,PAY000354,7293,2026-08-31T18:00:00
REF000099,PAY000356,2647,2026-08-08T01:00:00
REF000100,PAY000359,2693,2026-08-25T20:00:00
REF000101,PAY000361,5170,2026-08-22T12:00:00
REF000102,PAY000364,7126,2026-09-03T05:00:00
REF000103,PAY000367,2524,2026-08-14T20:00:00
REF000104,PAY000370,7107,2026-08-21T20:00:00
REF000105,PAY000372,3733,2026-08-24T21:00:00
REF000106,PAY000377,1495,2026-09-02T09:00:00
REF000107,PAY000387,5072,2026-08-21T20:00:00
REF000108,PAY000394,1850,2026-08-27T07:00:00
REF000109,PAY000395,1720,2026-08-17T22:00:00
REF000110,PAY000400,1272,2026-08-25T20:00:00
REF000111,PAY000401,8061,2026-08-21T22:00:00
REF000112,PAY000402,2398,2026-08-06T14:00:00
REF000113,PAY000404,7297,2026-08-07T11:00:00
REF000114,PAY000405,2256,2026-08-23T21:00:00
REF000115,PAY000407,1957,2026-09-02T05:00:00
REF000116,PAY000408,6364,2026-08-29T14:00:00
REF000117,PAY000414,104,2026-08-21T03:00:00
REF000118,PAY000416,972,2026-08-21T08:00:00
REF000119,PAY000417,3100,2026-09-03T20:00:00
REF000120,PAY000420,2353,2026-08-15T02:00:00
REF000121,PAY000421,110,2026-08-16T09:00:00
REF000122,PAY000432,4230,2026-08-16T10:00:00
REF000123,PAY000443,1467,2026-08-28T20:00:00
REF000124,PAY000444,1402,2026-08-17T13:00:00
REF000125,PAY000445,118,2026-08-16T09:00:00
REF000126,PAY000447,346,2026-08-25T11:00:00
REF000127,PAY000456,2698,2026-09-01T02:00:00
REF000128,PAY000462,3971,2026-08-11T21:00:00
REF000129,PAY000466,1862,2026-08-29T05:00:00
REF000130,PAY000468,2063,2026-08-14T03:00:00
REF000131,PAY000470,4527,2026-08-14T14:00:00
REF000132,PAY000473,5216,2026-08-25T14:00:00
REF000133,PAY000474,283,2026-08-19T12:00:00
REF000134,PAY000479,1622,2026-08-09T00:00:00
REF000135,PAY000484,8239,2026-08-16T22:00:00
REF000136,PAY000488,1747,2026-08-10T09:00:00
REF000137,PAY000492,672,2026-08-20T22:00:00
REF000138,PAY000493,2289,2026-08-16T05:00:00
REF000139,PAY000496,4440,2026-08-28T21:00:00
REF000140,PAY000497,6433,2026-08-21T22:00:00
REF000141,PAY000499,433,2026-08-17T01:00:00
REF000142,PAY000505,680,2026-08-20T01:00:00
REF000143,PAY000510,5197,2026-08-27T21:00:00
REF000144,PAY000513,4519,2026-08-27T18:00:00
REF000145,PAY000515,6753,2026-08-06T17:00:00
REF000146,PAY000516,1312,2026-08-17T09:00:00
