settlement_id,payment_id,expected_amt,actual_amt,status,ts
SET000001,PAY000001,18420,16420,settled,2026-09-04T04:00:00
SET000002,PAY000002,11700,10200,settled,2026-09-04T02:00:00
SET000003,PAY000003,7800,7000,settled,2026-09-04T00:00:00
SET000004,PAY000006,8775,8775,settled,2026-09-04T01:00:00
SET000005,PAY000007,4388,4388,settled,2026-09-03T22:00:00
SET000006,PAY000008,6825,6825,settled,2026-09-03T16:00:00
SET000007,PAY000009,6825,6825,settled,2026-09-03T16:00:00
SET000008,PAY000010,2925,2925,settled,2026-09-03T14:00:00
SET000009,PAY000011,2925,2925,settled,2026-09-03T14:00:00
SET000010,PAY000012,-1000,-1000,settled,2026-09-03T06:00:00
SET000011,PAY000013,-500,-500,settled,2026-09-03T03:00:00
SET000012,PAY000014,9750,9750,settled,2026-09-03T16:00:00
SET000013,PAY000015,3900,3900,settled,2026-09-03T18:00:00
SET000014,PAY000016,6800,6800,settled,2026-09-03T16:00:00
SET000015,PAY000017,24375,20000,settled,2026-09-03T06:00:00
SET000016,PAY000018,17928,17928,settled,2026-08-31T05:00:00
SET000017,PAY000019,2732,2732,settled,2026-08-25T15:00:00
SET000018,PAY000020,46727,46727,settled,2026-08-12T07:00:00
SET000019,PAY000021,31457,31457,settled,2026-09-04T07:00:00
SET000020,PAY000022,20903,20903,settled,2026-08-21T05:00:00
SET000021,PAY000023,7154,7154,settled,2026-08-20T21:00:00
SET000022,PAY000024,30330,30330,settled,2026-08-19T10:00:00
SET000023,PAY000025,41143,41143,settled,2026-08-20T03:00:00
SET000024,PAY000026,3903,3903,settled,2026-08-23T05:00:00
SET000025,PAY000027,7429,7429,settled,2026-08-16T05:00:00
SET000026,PAY000028,21439,21439,settled,2026-08-07T22:00:00
SET000027,PAY000029,11910,11910,settled,2026-08-25T03:00:00
SET000028,PAY000030,18224,18224,settled,2026-08-08T06:00:00
SET000029,PAY000031,4467,4467,settled,2026-08-22T02:00:00
SET000030,PAY000032,14455,14455,settled,2026-08-11T09:00:00
SET000031,PAY000033,32874,32874,settled,2026-08-08T03:00:00
SET000032,PAY000034,8697,8697,settled,2026-08-12T14:00:00
SET000033,PAY000035,28350,28350,settled,2026-08-18T13:00:00
SET000034,PAY000036,9814,9814,settled,2026-08-31T16:00:00
SET000035,PAY000037,10741,10741,settled,2026-08-06T13:00:00
SET000036,PAY000038,25561,25561,settled,2026-08-15T14:00:00
SET000037,PAY000039,1708,1708,settled,2026-08-30T16:00:00
SET000038,PAY000040,19100,19100,settled,2026-08-28T20:00:00
SET000039,PAY000041,12471,12471,settled,2026-08-29T23:00:00
SET000040,PAY000042,7774,7774,settled,2026-08-22T20:00:00
SET000041,PAY000043,11297,11297,settled,2026-08-12T22:00:00
SET000042,PAY000044,29173,29173,settled,2026-08-22T11:00:00
SET000043,PAY000045,37227,37227,settled,2026-08-31T22:00:00
SET000044,PAY000046,35013,35013,settled,2026-08-30T02:00:00
SET000045,PAY000047,9743,9743,settled,2026-08-26T13:00:00
SET000046,PAY000048,26469,26469,settled,2026-08-07T20:00:00
SET000047,PAY000049,34046,34046,settled,2026-08-25T00:00:00
SET000048,PAY000050,2318,2318,settled,2026-08-25T18:00:00
SET000049,PAY000051,11055,11055,settled,2026-09-03T07:00:00
SET000050,PAY000052,2982,2982,settled,2026-09-01T13:00:00
SET000051,PAY000053,30859,30859,settled,2026-08-11T05:00:00
SET000052,PAY000054,31196,31196,settled,2026-08-27T11:00:00
SET000053,PAY000055,28518,28518,settled,2026-08-18T01:00:00
SET000054,PAY000056,4436,4436,settled,2026-08-08T00:00:00
SET000055,PAY000057,22655,22655,settled,2026-08-30T22:00:00
SET000056,PAY000058,35242,35242,settled,2026-08-17T13:00:00
SET000057,PAY000059,16937,16937,settled,2026-09-01T08:00:00
SET000058,PAY000060,30748,30748,settled,2026-08-12T12:00:00
SET000059,PAY000061,14040,14040,settled,2026-08-15T01:00:00
SET000060,PAY000062,4669,4669,settled,2026-08-18T22:00:00
SET000061,PAY000063,24293,24293,settled,2026-08-11T20:00:00
SET000062,PAY000064,19645,19645,settled,2026-08-10T20:00:00
SET000063,PAY000065,4089,4089,settled,2026-08-14T03:00:00
SET000064,PAY000066,31852,31852,settled,2026-09-01T15:00:00
SET000065,PAY000067,16004,16004,settled,2026-08-11T06:00:00
SET000066,PAY000068,3514,3514,settled,2026-08-17T16:00:00
SET000067,PAY000069,14026,14026,settled,2026-08-22T04:00:00
SET000068,PAY000070,9337,9337,settled,2026-08-22T18:00:00
SET000069,PAY000071,5356,5356,settled,2026-09-01T10:00:00
SET000070,PAY000072,9438,9438,settled,2026-09-01T15:00:00
SET000071,PAY000073,11054,11054,settled,2026-08-12T09:00:00
SET000072,PAY000074,42762,42762,settled,2026-08-07T02:00:00
SET000073,PAY000075,7593,7593,settled,2026-08-29T20:00:00
SET000074,PAY000076,7814,7814,settled,2026-08-28T22:00:00
SET000075,PAY000077,14433,14433,settled,2026-08-26T21:00:00
SET000076,PAY000078,17021,17021,settled,2026-09-02T09:00:00
SET000077,PAY000079,17237,17237,settled,2026-08-30T00:00:00
SET000078,PAY000080,29207,29207,settled,2026-08-17T08:00:00
SET000079,PAY000081,45129,45129,settled,2026-08-12T07:00:00
